oshpd_id,FacilityName2,CountyName,system,year,LICENSED_BED_SIZE,HospitalOwnership,UrbanRuralDesi,TEACHINGDesignation,Category,Tot_ED_NmbVsts,EDStations,EDDXCount,LATITUDE,LONGITUDE,PrimaryCareShortageArea,MentalHealthShortageArea,Visits_Per_Station
106190529,USC Arcadia Hospital,Los Angeles,N/A,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,35962,26,1638,34.13603000,-118.03879000,No,No,63
106190547,Monterey Park Hospital,Los Angeles,"AHMC Healthcare, Inc.",2022,100-149,Investor Owned,Urban,Non-Teaching,Active COVID-19,16386,6,471,34.05308000,-118.13665000,No,No,78.5
106190555,Cedars – Sinai Medical Center,Los Angeles,Cedars-Sinai Health System,2022,500+,Nonprofit,Urban,Teaching,Active COVID-19,54587,60,2303,34.07681000,-118.38061000,No,No,38.38333333
106190568,Northridge Hospital Medical Center,Los Angeles,Dignity Health,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,47234,37,2174,34.22075000,-118.53186000,No,No,58.75675676
106190570,Norwalk Community Hospital,Los Angeles,Alta Hospitals System,2022,50-99,Investor Owned,Urban,Non-Teaching,Active COVID-19,5026,4,163,33.91108000,-118.06440000,No,No,40.75
106190587,College Medical Center,Los Angeles,N/A,2022,100-149,Investor Owned,Urban,Non-Teaching,Active COVID-19,6654,7,174,33.80759000,-118.19355000,No,No,24.85714286
106190630,Pomona Valley Hospital Medical Center,Los Angeles,N/A,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,78066,72,4775,34.07709000,-117.75062100,No,No,66.31944444
106190631,PIH Health Hospital – Whittier,Los Angeles,N/A,2022,500+,Nonprofit,Urban,Non-Teaching,Active COVID-19,58298,61,2422,33.96979430,-118.04925500,No,No,39.70491803
106190673,San Dimas Community Hospital,Los Angeles,Prime Healthcare Services,2022,100-149,Investor Owned,Urban,Non-Teaching,Active COVID-19,12256,8,417,34.09907600,-117.83432800,No,No,52.125
106190680,Providence Little Company of Mary Medical Center – San Pedro,Los Angeles,Providence St. Joseph Health,2022,200-299,Nonprofit,Urban,Non-Teaching,Active COVID-19,33407,16,1674,33.73793900,-118.30389300,No,No,104.625
106190687,Santa Monica – UCLA Medical Center and Orthopaedic Hospital,Los Angeles,University of California,2022,200-299,Government,Urban,Non-Teaching,Active COVID-19,33209,21,1381,34.02753900,-118.48612300,No,No,65.76190476
106190696,Pacifica Hospital of the Valley,Los Angeles,N/A,2022,200-299,Investor Owned,Urban,Non-Teaching,Active COVID-19,6908,7,186,34.24088000,-118.39555000,Yes,No,26.57142857
106190708,Sherman Oaks Hospital,Los Angeles,Prime Healthcare Services,2022,150-199,Nonprofit,Urban,Non-Teaching,Active COVID-19,18208,12,423,34.15995000,-118.44880000,No,No,35.25
106190754,St. Francis Medical Center,Los Angeles,Verity Health System,2022,300-499,Investor Owned,Urban,Non-Teaching,Active COVID-19,48363,42,1593,33.93085000,-118.20415000,Yes,Yes,37.92857143
106190756,Providence Saint John's Health Center,Los Angeles,Providence St. Joseph Health,2022,200-299,Nonprofit,Urban,Non-Teaching,Active COVID-19,24761,27,1002,34.02980400,-118.47866800,No,No,37.11111111
106190758,Providence Saint Joseph Medical Center,Los Angeles,Providence St. Joseph Health,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,50489,48,2375,34.15486000,-118.32655000,No,No,49.47916667
106190766,Coast Plaza Hospital,Los Angeles,Avanti Hospitals,2022,100-149,Investor Owned,Urban,Non-Teaching,Active COVID-19,9366,8,138,33.91255000,-118.09915000,No,No,17.25
106190812,Valley Presbyterian Hospital,Los Angeles,N/A,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,44727,30,1491,34.19396000,-118.46320000,No,No,49.7
106190818,USC Verdugo Hills Hospital,Los Angeles,University of Southern California,2022,150-199,Nonprofit,Urban,Non-Teaching,Active COVID-19,22041,13,1265,34.20557000,-118.21520000,No,No,97.30769231
106190859,West Hills Hospital and Medical Center,Los Angeles,HCA Healthcare Corporation,2022,200-299,Investor Owned,Urban,Non-Teaching,Active COVID-19,46662,30,914,34.20337000,-118.62939000,No,No,30.46666667
106190878,Adventist Health White Memorial,Los Angeles,Adventist Health Systems,2022,300-499,Nonprofit,Urban,Teaching,Active COVID-19,52148,28,1607,34.05085000,-118.21691000,No,No,57.39285714
106190883,Whittier Hospital Medical Center,Los Angeles,"AHMC Healthcare, Inc.",2022,150-199,Investor Owned,Urban,Non-Teaching,Active COVID-19,22499,12,760,33.95379000,-118.00303000,No,No,63.33333333
106190949,Henry Mayo Newhall Hospital,Los Angeles,N/A,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,54067,30,2380,34.39545000,-118.55476000,No,No,79.33333333
106191227,Los Angeles County/Harbor – UCLA Medical Center,Los Angeles,County of Los Angeles,2022,300-499,Government,Urban,Teaching,Active COVID-19,77616,73,2183,33.83155000,-118.29353000,Yes,No,29.90410959
106191228,Los Angeles County+USC Medical Center,Los Angeles,County of Los Angeles,2022,500+,Government,Urban,Teaching,Active COVID-19,104935,106,1846,34.05982000,-118.21031000,No,No,17.41509434
106191230,"Martin Luther King, Jr. Community Hospital",Los Angeles,N/A,2022,100-149,Nonprofit,Urban,Teaching,Active COVID-19,99493,29,4238,33.92453000,-118.24350000,Yes,Yes,146.137931
106191231,Los Angeles County Olive View – UCLA Medical Center,Los Angeles,County of Los Angeles,2022,300-499,Government,Urban,Teaching,Active COVID-19,47977,51,1112,34.32418000,-118.45255000,No,No,21.80392157
106191450,Kaiser Foundation Hospital – Woodland Hills,Los Angeles,Kaiser Foundation Hospitals,2022,200-299,Nonprofit,Urban,Non-Teaching,Active COVID-19,40713,36,2674,34.17198000,-118.58829000,No,No,74.27777778
106196035,Kaiser Foundation Hospital – Baldwin Park,Los Angeles,Kaiser Foundation Hospitals,2022,200-299,Nonprofit,Urban,Non-Teaching,Active COVID-19,70040,30,3591,34.06348000,-117.98600000,Yes,No,119.7
106196403,Kaiser Foundation Hospital – Downey,Los Angeles,Kaiser Foundation Hospitals,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,91278,80,5263,33.91712340,-118.12902160,No,No,65.7875
106196405,Palmdale Regional Medical Center,Los Angeles,"Universal Health Services, Inc.",2022,150-199,Investor Owned,Urban,Non-Teaching,Active COVID-19,62297,35,1353,34.58437540,-118.14434610,Yes,Yes,38.65714286
106204019,Valley Children's Hospital,Madera,N/A,2022,300-499,Nonprofit,Rural,Non-Teaching,Active COVID-19,77730,38,4372,36.88439000,-119.80042000,Yes,Yes,115.0526316
106210992,Kaiser Foundation Hospital – San Rafael,Marin,Kaiser Foundation Hospitals,2022,100-149,Nonprofit,Urban,Non-Teaching,Active COVID-19,28282,21,821,38.00410000,-122.55376000,No,No,39.0952381
106211006,MarinHealth Medical Center,Marin,N/A,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,29682,31,1040,37.94651000,-122.53715000,No,No,33.5483871
106214034,Novato Community Hospital,Marin,Sutter Health,2022,1-49,Nonprofit,Urban,Non-Teaching,Active COVID-19,14709,9,643,38.09827000,-122.55974000,No,No,71.44444444
106220733,John C Fremont Healthcare District,Mariposa,N/A,2022,1-49,Government,Rural,Non-Teaching,Active COVID-19,6498,4,322,37.50045000,-119.97698000,Yes,Yes,80.5
106231013,Adventist Health Mendocino Coast,Mendocino,N/A,2022,1-49,Nonprofit,Rural,Non-Teaching,Active COVID-19,8963,6,325,39.43260000,-123.80068000,Yes,Yes,54.16666667
106231396,Adventist Health Ukiah Valley,Mendocino,Adventist Health Systems,2022,50-99,Nonprofit,Rural,Non-Teaching,Active COVID-19,29738,19,1325,39.15216000,-123.20274100,Yes,Yes,69.73684211
106234038,Adventist Health Howard Memorial,Mendocino,Adventist Health Systems,2022,1-49,Nonprofit,Rural,Non-Teaching,Active COVID-19,14061,9,448,39.39927000,-123.35486000,Yes,Yes,49.77777778
106240924,Memorial Hospital Los Banos,Merced,Sutter Health,2022,1-49,Nonprofit,Rural,Non-Teaching,Active COVID-19,26483,10,1222,37.06273000,-120.86147000,Yes,Yes,122.2
106240942,Mercy Medical Center – Merced,Merced,Dignity Health,2022,150-199,Nonprofit,Urban,Non-Teaching,Active COVID-19,57645,26,1533,37.34023090,-120.46518150,Yes,Yes,58.96153846
106250955,Surprise Valley Community Hospital,Modoc,N/A,2022,1-49,Government,Frontier,Non-Teaching,Active COVID-19,511,1,37,41.53221000,-120.17187000,Yes,Yes,37
106270744,Community Hospital of the Monterey Peninsula,Monterey,N/A,2022,200-299,Nonprofit,Urban,Non-Teaching,Active COVID-19,42759,31,2170,36.59827000,-121.92488000,No,No,70
106270777,George L. Mee Memorial Hospital,Monterey,N/A,2022,50-99,Nonprofit,Rural,Non-Teaching,Active COVID-19,15447,6,739,36.20710000,-121.13250000,No,Yes,123.1666667
106270875,Salinas Valley Health Medical Center,Monterey,N/A,2022,200-299,Government,Urban,Non-Teaching,Active COVID-19,54157,16,2528,36.65909000,-121.64629100,Yes,Yes,158
106274043,Natividad Medical Center,Monterey,N/A,2022,150-199,Government,Urban,Non-Teaching,Active COVID-19,49779,19,2418,36.69686000,-121.62970000,Yes,Yes,127.2631579
106281047,Providence Queen of the Valley Medical Center,Napa,Providence St. Joseph Health,2022,150-199,Investor Owned,Urban,Non-Teaching,Active COVID-19,24941,18,912,38.32363000,-122.29600000,No,No,50.66666667
106281078,Adventist Health St. Helena,Napa,Adventist Health Systems,2022,100-149,Nonprofit,Rural,Non-Teaching,Active COVID-19,6503,8,229,38.53937349,-122.47300302,No,No,28.625
106291053,Tahoe Forest Hospital,Nevada,N/A,2022,50-99,Government,Rural,Non-Teaching,Active COVID-19,13700,15,420,39.32453600,-120.20151600,Yes,Yes,28
106300032,Children's Hospital of Orange County,Orange,N/A,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,100831,35,4448,33.78075110,-117.86544880,No,No,127.0857143
106300225,MemorialCare Orange Coast Medical Center,Orange,MemorialCare,2022,200-299,Nonprofit,Urban,Non-Teaching,Active COVID-19,29010,26,1984,33.70162000,-117.95524000,No,No,76.30769231
